provider,kind,index,price,cost,capacity,demand,utilization,revenue,served_users
ESP1,ESP,1,0.48630947242723405,0.008,45.0,45.00000000000001,1.0000000000000002,21.523926259225536,7
ESP2,ESP,2,0.5,0.01,35.0,35.0,1.0,17.15,5
ESP3,ESP,3,0.46816628079694134,0.013,25.0,25.0,1.0,11.379157019923532,4
NSP1,NSP,1,3.308563412984668,0.007,20.0,20.0,1.0,66.03126825969336,9
NSP2,NSP,2,3.8521738104840724,0.01,14.0,13.632643734868545,0.9737602667763247,52.378986725771696,6
NSP3,NSP,3,5.7865954878290395,0.014,10.0,2.203696338299828,0.22036963382998281,12.721047539014963,1
