iteration,updated_provider,restricted_gap,social_cost,offloading_count,stage2_calls,pE1,pE2,pE3,pN1,pN2,pN3,esp1_revenue,esp2_revenue,esp3_revenue,nsp1_revenue,nsp2_revenue,nsp3_revenue,provider1_gain,provider2_gain,provider3_gain,provider4_gain,provider5_gain,provider6_gain
0,N1,47.890397212771404,901.827924973729,17,35,0.42,0.5,0.58,2.907485817691585,0.5,0.62,18.539999999999996,17.15,13.564452767949756,7.86,6.859999999999999,6.0600000000000005,1.8900000000000006,1.7500000000000036,0.0,47.890397212771404,4.452392582251511,13.622910813681715
1,N2,27.523769475866217,965.4111114598516,18,77,0.42,0.5,0.58,2.907485817691585,3.8521738104840724,0.62,18.54,17.15,14.174999999999999,55.750397212771404,6.859999999999999,6.06,11.738661252701704,1.7500000000000036,1.450000000000001,0.01628558769890276,27.523769475866217,6.750411761064039
2,N3,6.661047539014962,1012.9624527881756,17,117,0.42,0.5,0.58,2.907485817691585,3.8521738104840724,5.7865954878290395,18.539999999999996,17.15,14.174999999999999,58.0097163538317,34.38376947586622,6.0600000000000005,4.757644292319007,1.7500000000000036,0.0,1.3291433361141216,0.555564057473596,6.661047539014962
3,N1,1.9323660491666388,1028.3925790570424,15,147,0.42,0.5,0.58,3.2679222453689096,3.8521738104840724,5.7865954878290395,18.539999999999996,17.15,7.143543460398588,58.009716353831706,45.65428826599249,12.721047539014963,1.8900000000000006,1.7500000000000036,0.0,1.9323660491666388,0.0,0.2335641414443259
4,E3,4.2356135595249444,1034.9711409409115,15,177,0.42,0.5,0.46816628079694134,3.2679222453689096,3.8521738104840724,5.7865954878290395,18.539999999999996,17.15,7.143543460398588,59.942082402998345,52.378986725771696,12.721047539014963,1.8900000000000006,1.7500000000000036,4.2356135595249444,2.937972544579857,0.0,0.2335641414443259
5,E1,1.8900000000000006,1032.4350410431355,16,210,0.462,0.5,0.46816628079694134,3.2679222453689096,3.8521738104840724,5.7865954878290395,18.539999999999996,17.149999999999995,11.379157019923532,65.21844490737818,52.378986725771696,12.721047539014963,1.8900000000000006,0.0,0.0,0.0,0.0,0.2335641414443259
6,E1,0.6829952552857215,1034.3250410431353,16,243,0.5082000000000001,0.5,0.46816628079694134,3.2679222453689096,3.8521738104840724,5.7865954878290395,20.429999999999996,17.149999999999995,11.379157019923532,65.21844490737818,52.378986725771696,12.721047539014963,0.6829952552857215,0.0,0.0,0.0,0.0,0.2335641414443259
7,N1,0.4784579294714604,1036.6293805621383,16,279,0.5082000000000001,0.5,0.46816628079694134,3.291845141842482,3.8521738104840724,5.7865954878290395,21.112995255285718,17.15,11.379157019923532,65.21844490737818,52.378986725771696,12.721047539014963,0.4109310039398153,0.0,0.0,0.4784579294714604,0.0,0.2335641414443259
8,E1,0.4109310039398153,1037.1078384916098,16,315,0.48630947242723405,0.5,0.46816628079694134,3.291845141842482,3.8521738104840724,5.7865954878290395,21.112995255285718,17.15,11.379157019923532,65.69690283684965,52.378986725771696,12.721047539014963,0.4109310039398153,0.0,0.0,0.0,0.0,0.2335641414443259
9,N1,0.3343654228437174,1035.887343236619,16,359,0.48630947242723405,0.5,0.46816628079694134,3.308563412984668,3.8521738104840724,5.7865954878290395,21.523926259225533,17.149999999999995,11.379157019923532,65.69690283684965,52.378986725771696,12.721047539014963,0.1547269972452341,0.0,0.0,0.3343654228437174,0.0,0.2335641414443259
