variant,steps,final_epsilon,dist_to_se,runtime_sec,final_pE,final_pN,stopping_reason
guided,9,2.403339749434963e-10,10.752285827989114,2.741716822987655,1.277687505163362,11.466783394460009,no_improving_candidate
no_prio,5,2.5017961888806894e-06,12.07631758616243,0.5955855089996476,0.9528950799849338,12.778060949981809,no_improving_candidate
neighborhood_only,2,0.0,10.752462946840703,1.1299063269980252,1.2776487136161194,11.46696158124714,no_improving_candidate
